title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Rambo III",movie,"Action, Adventure, Thriller",1988,tt0095956,5.8,142509,"BR, CA, CL, CO, MX, US"
Houseboat,movie,"Comedy, Drama, Family",1958,tt0051745,6.6,9815,"CA, US"
"The Fountain",movie,"Drama, Mystery, Romance",2006,tt0414993,7.2,250902,PT
"Me and You and Everyone We Know",movie,"Comedy, Drama",2005,tt0415978,7.2,37746,US
"Out of Sight",movie,"Comedy, Crime, Drama",1998,tt0120780,7,101038,AU
"Y tu mamá también",movie,Drama,2001,tt0245574,7.7,130626,US
"City Slickers",movie,"Comedy, Western",1991,tt0101587,6.8,64366,"CL, CO, MX"
"Sex, Lies, and Videotape",movie,Drama,1989,tt0098724,7.2,60600,GB
"Pan's Labyrinth",movie,"Drama, Fantasy, War",2006,tt0457430,8.2,712950,"AU, CA, GB"
"Perfume: The Story of a Murderer",movie,"Crime, Drama, Fantasy",2006,tt0396171,7.5,269180,US
"Once Upon a Time in Mexico",movie,"Action, Crime, Thriller",2003,tt0285823,6.3,171551,US
"The Contract",movie,"Action, Crime, Drama",2006,tt0445946,5.6,26352,"AR, BR, CL, CO, MX"
"The Virgin Suicides",movie,"Drama, Romance",1999,tt0159097,7.2,173672,"GB, US"
"Laws of Gravity",movie,"Crime, Drama",1992,tt0104693,6.7,1239,US
Hellboy,movie,"Action, Adventure, Fantasy",2004,tt0167190,6.9,356338,US
"The Illusionist",movie,"Drama, Fantasy, Mystery",2006,tt0443543,7.5,393296,US
"Teenage Mutant Ninja Turtles II: The Secret of the Ooze",movie,"Action, Adventure, Comedy",1991,tt0103060,6,61915,"AU, US"
"Teenage Mutant Ninja Turtles",movie,"Action, Adventure, Comedy",1990,tt0100758,6.8,106753,"AU, IE, US"
"Teenage Mutant Ninja Turtles III",movie,"Action, Adventure, Comedy",1993,tt0108308,4.8,37024,"AU, US"
"Changing Lanes",movie,"Drama, Thriller",2002,tt0264472,6.5,75402,US
Collateral,movie,"Action, Crime, Drama",2004,tt0369339,7.5,440627,US
"Ghost World",movie,"Comedy, Drama",2001,tt0162346,7.3,128213,GB
"Pieces of April",movie,"Comedy, Drama",2003,tt0311648,7,22274,US
Flatliners,movie,"Drama, Horror, Sci-Fi",1990,tt0099582,6.5,95038,US
Parenthood,movie,"Comedy, Drama",1989,tt0098067,7.1,56020,AU
"Down by Law",movie,"Comedy, Crime, Drama",1986,tt0090967,7.7,56183,DE
"28 Weeks Later",movie,"Horror, Sci-Fi",2007,tt0463854,6.9,299729,US
Chicago,movie,"Comedy, Crime, Musical",2002,tt0299658,7.2,246784,"AU, US"
"Resident Evil",movie,"Action, Horror, Sci-Fi",2002,tt0120804,6.6,294271,US
"The Holiday",movie,"Comedy, Romance",2006,tt0457939,7,329562,AU
"School of Rock",movie,"Comedy, Music",2003,tt0332379,7.2,338233,"AT, CH, DE, FR, GB, IE, IT, US"
"What's Eating Gilbert Grape",movie,Drama,1993,tt0108550,7.7,258017,AU
"Bring It On",movie,"Comedy, Romance, Sport",2000,tt0204946,6.1,108281,"AR, BO, BR, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, VE"
"Primal Fear",movie,"Crime, Drama, Mystery",1996,tt0117381,7.7,252888,"AT, CH, DE, FR, GB, IE, IT, US"
"A Shot in the Dark",movie,"Comedy, Crime, Mystery",1964,tt0058586,7.3,31637,"BR, CL, CO, MX"
"Meet the Parents",movie,"Comedy, Romance",2000,tt0212338,7,361644,"AT, AU, CH, DE, FR, GB, IE, IT"
"Cape Fear",movie,"Crime, Thriller",1991,tt0101540,7.3,221799,AU
"The Double Life of Véronique",movie,"Drama, Fantasy, Music",1991,tt0101765,7.7,54048,DE
"A Bronx Tale",movie,"Crime, Drama",1993,tt0106489,7.8,166955,US
"Still Crazy",movie,"Comedy, Drama, Music",1998,tt0149151,7,9001,AU
Hitman,movie,"Action, Crime, Thriller",2007,tt0465494,6.2,180693,US
"Liar Liar",movie,"Comedy, Fantasy",1997,tt0119528,6.9,340428,AU
"Jules and Jim",movie,"Drama, Romance",1962,tt0055032,7.7,45169,"DE, GB"
"Mississippi Burning",movie,"Crime, Drama, Mystery",1988,tt0095647,7.8,113883,"BR, CL, CO, DE, MX"
"The Island",movie,"Action, Sci-Fi, Thriller",2005,tt0399201,6.8,331228,US
Bedazzled,movie,"Comedy, Fantasy",2000,tt0230030,6.1,113802,DE
Speed,movie,"Action, Adventure, Thriller",1994,tt0111257,7.3,400136,US
"Speed 2: Cruise Control",movie,"Action, Adventure, Crime",1997,tt0120179,3.9,87189,US
"Forces of Nature",movie,"Comedy, Romance",1999,tt0141098,5.5,36363,"AT, CH, DE, FR, GB, IE, IT"
"The Net",movie,"Action, Crime, Drama",1995,tt0113957,6,75391,US
"A Time to Kill",movie,"Crime, Drama, Thriller",1996,tt0117913,7.5,186129,US
"Freedom Writers",movie,"Biography, Crime, Drama",2007,tt0463998,7.6,86655,"AT, CH, DE, FR, GB, IE, IT, US"
"Bill & Ted's Bogus Journey",movie,"Adventure, Comedy, Fantasy",1991,tt0101452,6.3,82113,"BR, CL, CO, MX"
"Mississippi Mermaid",movie,"Crime, Drama, Romance",1969,tt0064990,6.9,7513,US
"The Legend of Zorro",movie,"Action, Adventure, Romance",2005,tt0386140,6,109229,US
"The Bridge",movie,"Documentary, Drama",2006,tt0799954,7.2,12368,US
"March of the Penguins",movie,"Documentary, Family",2005,tt0428803,7.5,60579,DE
"The Hunt for Red October",movie,"Action, Adventure, Thriller",1990,tt0099810,7.5,218903,"AT, CA, CH, DE, FR, GB, IE, IT"
Ray,movie,"Biography, Drama, Music",2004,tt0350258,7.7,159199,US
"Little Buddha",movie,Drama,1993,tt0107426,6.1,18277,DE
Hostel,movie,Horror,2005,tt0450278,5.9,194601,US
"Hostel: Part II",movie,Horror,2007,tt0498353,5.5,97692,US
Re-Animator,movie,"Comedy, Horror, Sci-Fi",1985,tt0089885,7.2,73481,"AU, CA"
"The Devil's Rejects",movie,"Crime, Drama, Horror",2005,tt0395584,6.7,107477,"CA, US"
Copycat,movie,"Drama, Mystery, Thriller",1995,tt0112722,6.6,67819,"DE, US"
"The Last Metro",movie,"Drama, Romance, War",1980,tt0080610,7.3,16162,"DE, GB"
"The Soft Skin",movie,"Drama, Romance",1964,tt0058458,7.5,8585,"DE, GB"
"West Side Story",movie,"Crime, Drama, Musical",1961,tt0055614,7.6,122787,BR
"Bird on a Wire",movie,"Action, Comedy, Crime",1990,tt0099141,6,48683,AU
"Inland Empire",movie,"Drama, Fantasy, Mystery",2006,tt0460829,6.8,63677,"DE, GB"
"The Mummy Returns",movie,"Action, Adventure, Fantasy",2001,tt0209163,6.4,351949,AU
